"","ticker","ref.date","volume","price.open","price.high","price.low","price.close","price.adjusted","ret.adjusted.prices","ret.closing.prices"
"105","ARW",2009,269927400,18.85,29.98,15.17,19.66,19.66,-0.49329895601286,-0.49329895601286
"106","ASF",2005,800,9.24,NA,NA,9.35,9.35,NA,NA
"107","ASF",2006,890,35.299999,NA,NA,35.5,35.5,2.79679144385027,2.79679144385027
"108","ASF",2007,890,32.27,NA,NA,32.27,32.27,-0.0909859154929576,-0.0909859154929576
"109","ASF",2008,100,20.07,NA,NA,20.07,20.07,-0.37806011775643,-0.37806011775643
"110","ASF",2009,0,15.55,NA,NA,15.55,15.55,-0.225211758844046,-0.225211758844046
"111","ATSG",2005,77587300,8.9,9.03,6.97,8.64,8.64,NA,NA
"112","ATSG",2006,115146800,7.68,8.02,5.02,7.57,7.57,-0.123842592592593,-0.123842592592593
"113","ATSG",2007,98290300,6.95,8.28,3.99,6.89,6.89,-0.0898282694848085,-0.0898282694848085
"114","ATSG",2008,97738000,4.14,4.07,0.12,4.07,4.07,-0.409288824383164,-0.409288824383164
"115","ATSG",2009,94142000,0.2,3.79,0.17,0.31,0.31,-0.923832923832924,-0.923832923832924
"116","AVT",2005,201869000,18.4,26.610001,16.129999,18.049999,16.443718,NA,NA
"117","AVT",2006,346126200,23.950001,27.1,16.77,23.99,21.855118,0.329086159225061,0.329085946209748
"118","AVT",2007,497200800,25.610001,44.330002,25.700001,26,23.686247,0.08378490566832,0.0837849103793249
"119","AVT",2008,445394600,34.759998,36.740002,12.1,34.619999,31.539137,0.331537959559402,0.331538423076923
"120","AVT",2009,357089300,18.58,30.42,15.4,18.98,17.290962,-0.451761727025061,-0.451761971454707
"121","AXP",2005,1446890900,49.541981,52.84,43.598694,48.938023,39.255753,NA,NA
"122","AXP",2006,1237116000,51.700001,61.900002,50.619999,52.580002,42.606918,0.0853674874100621,0.074420231483401
"123","AXP",2007,1872902600,61.18,65.550003,50.84,60.360001,49.526428,0.16240343880306,0.147964981058768
"124","AXP",2008,3756234900,52.09,51.330002,17.23,51.040001,42.345112,-0.144999675728684,-0.154406889423345
"125","AXP",2009,4829520200,18.57,41.830002,10.26,19.33,16.25202,-0.61620080258614,-0.621277436887198
"126","AZO",2005,231623100,91.309998,103.800003,77.760002,90.75,90.75,NA,NA
"127","AZO",2006,168988200,91.849998,119.410004,84.419998,92.760002,92.760002,0.022148782369146,0.022148782369146
"128","AZO",2007,186633700,115.940002,140.100006,103.43,118.610001,118.610001,0.278676136725396,0.278676136725396
"129","AZO",2008,245498300,120.099998,141.130005,89.089996,116.209999,116.209999,-0.0202343982781014,-0.0202343982781014
"130","AZO",2009,267096800,138.940002,166.820007,127.059998,140.570007,140.570007,0.209620585230364,0.209620585230364
"131","BA",2005,978495000,51.849998,71.489998,49.639999,50.970001,36.254494,NA,NA
"132","BA",2006,998624000,70.400002,91.099998,66.5,70.440002,50.928329,0.404745271027641,0.381989417657653
"133","BA",2007,1330874600,88.900002,107.230003,85.43,89.169998,65.444855,0.285038332987521,0.265899992450312
"134","BA",2008,1951726600,87.57,87.07,37.110001,86.620003,64.505844,-0.0143481256089575,-0.0285970063608166
"135","BA",2009,1731182900,42.799999,56.049999,29.360001,45.25,34.488712,-0.465339729529002,-0.47760334295994
"136","BBY",2005,1346848900,39.933334,52.313332,32.313332,39.52,29.451855,NA,NA
"137","BBY",2006,1194578700,43.75,58.720001,43.5,44.73,33.651711,0.142600729224017,0.131831983805668
"138","BBY",2007,1564710900,49.150002,53.380001,42.689999,49.060001,37.160774,0.10427591631225,0.0968030628213727
"139","BBY",2008,2073965700,52.720001,51.220001,17.42,51.220001,39.062813,0.0511840523020322,0.0440277202603401
"140","BBY",2009,1973411600,27.959999,45.369999,24.709999,29.02,22.53536,-0.423099406589075,-0.433424454638336
"141","BC",2005,211267800,49.5,49.5,35.09,48.57,41.18861,NA,NA
"142","BC",2006,229334100,41,42.299999,27.559999,40.82,35.145988,-0.14670614036259,-0.159563516574017
"143","BC",2007,308568400,31.99,34.799999,17.049999,31.92,27.990789,-0.203585086297759,-0.218030377266046
"144","BC",2008,579672600,17.08,19.280001,2.01,16.92,15.28435,-0.453950726433614,-0.469924812030075
"145","BC",2009,375038600,4.26,13.11,2.18,4.65,4.290241,-0.719304975350604,-0.725177304964539
"146","BGFV",2005,23921600,29.360001,29.1,21.360001,29.1,17.796396,NA,NA
"147","BGFV",2006,36088500,22.110001,24.889999,18.059999,22.32,13.804096,-0.224331937769872,-0.23298969072165
"148","BGFV",2007,43486300,24.459999,27.059999,14.25,24.24,15.227077,0.103083968700305,0.086021505376344
"149","BGFV",2008,53187000,14.43,14.32,3.3,14.32,9.151885,-0.398972961127076,-0.409240924092409
"150","BGFV",2009,42369200,5.21,17.950001,4.46,5.75,3.881272,-0.575904636039461,-0.598463687150838
"151","BID",2005,105676800,18.190001,19.43,13.52,18.01,14.321409,NA,NA
"152","BID",2006,221410700,18.799999,38,18.549999,18.969999,15.084792,0.0533036239660498,0.0533036646307607
"153","BID",2007,456022300,31.200001,57.639999,30.709999,30.860001,24.709293,0.638026762317969,0.626779263404284
"154","BID",2008,558745400,38.02,38.580002,7.64,38.580002,31.283234,0.266051359705031,0.250162046333051
