gvkey,ticker,compname,year,sic4,salesmillions,employees,breach,breachtype
1919,AVT,AVNET INC,2007,5065,13025.97,11.7,0,
1919,AVT,AVNET INC,2008,5065,14358.83,12.8,0,
1919,AVT,AVNET INC,2009,5065,13029.32,12.9,0,
1919,AVT,AVNET INC,2010,5065,19160.699,14.2,0,
22140,AW,"Allied Waste Industries, Inc.",2005,4953,5056.4902,26,0,
22140,AW,"Allied Waste Industries, Inc.",2006,4953,5149.6001,24.200001,0,
22140,AW,"Allied Waste Industries, Inc.",2007,4953,5041.1499,23.299999,0,
22140,AW,"Allied Waste Industries, Inc.",2008,4953,3685,,1,Disposal_Document
22140,AW,"Allied Waste Industries, Inc.",2009,4953,8199,,0,
22140,AW,"Allied Waste Industries, Inc.",2010,4953,8107,,0,
175689,AWI,"Armstrong World Industries, Inc.",2005,3089,3137.51,14.9,0,
175689,AWI,"Armstrong World Industries, Inc.",2006,3089,2926.29,14.5,1,StolenLaptop
175689,AWI,"Armstrong World Industries, Inc.",2007,3089,2948.6699,12.9,0,
175689,AWI,"Armstrong World Industries, Inc.",2008,3089,3393,12.2,0,
175689,AWI,"Armstrong World Industries, Inc.",2009,3089,2780,10.8,0,
175689,AWI,"Armstrong World Industries, Inc.",2010,3089,2766.3999,9.8000002,0,
1447,AXP,American Express Company,2005,6199,22445.961,65.800003,0,
1447,AXP,American Express Company,2006,6199,24523.119,65.400002,0,
1447,AXP,American Express Company,2007,6199,26277.73,67.699997,0,
1447,AXP,American Express Company,2008,6199,25530.07,66,0,
1447,AXP,American Express Company,2009,6199,21289.381,58.299999,1,FraudSe/StolenLaptop
1447,AXP,American Express Company,2010,6199,30242,61,0,
23809,AZO,AUTOZONE INC,2005,5531,5035.3999,52,0,
23809,AZO,AUTOZONE INC,2006,5531,5080.8901,53,0,
23809,AZO,AUTOZONE INC,2007,5531,5125.1299,55,0,
23809,AZO,AUTOZONE INC,2008,5531,5216.9502,57,0,
23809,AZO,AUTOZONE INC,2009,5531,5472.5298,60,0,
23809,AZO,AUTOZONE INC,2010,5531,,63,0,
2285,BA,Boeing Company,2005,3721,48357.961,153,1,StolenLaptop
2285,BA,Boeing Company,2006,3721,52556.871,154,1,StolenLaptop
2285,BA,Boeing Company,2007,3721,55146.359,159.3,0,
2285,BA,Boeing Company,2008,3721,48715.879,162.2,0,
2285,BA,Boeing Company,2009,3721,54815.801,157.10001,0,
2285,BA,Boeing Company,2010,3721,,160.5,0,
175399,BARE,Bare Escentuals Inc,2005,2844,228.63,,0,
175399,BARE,Bare Escentuals Inc,2006,2844,336.98999,0.86299998,0,
175399,BARE,Bare Escentuals Inc,2007,2844,424.48001,1.571,0,
175399,BARE,"Bare Escentuals, Inc.",2008,2844,444.82999,2.779,0,
175399,BARE,"Bare Escentuals, Inc.",2009,2844,447.56,2.5680001,0,
175399,BARE,"Bare Escentuals, Inc.",2010,2844,,,1,Stolen computer
264386,BBBB,BLACKBOARD INC,2005,7372,119.62,0.54900002,0,
264386,BBBB,BLACKBOARD INC,2006,7372,156.37,0.76499999,0,
264386,BBBB,BLACKBOARD INC,2007,7372,198.89999,0.88999999,0,
264386,BBBB,BLACKBOARD INC,2008,7372,249.64999,1.087,0,
264386,BBBB,BLACKBOARD INC,2009,7372,302.64999,1.183,0,
264386,BBBB,BLACKBOARD INC,2010,7372,,1.78,0,
26012,BBOX,BLACK BOX CORP,2005,7370,642.28003,3.3,0,
26012,BBOX,BLACK BOX CORP,2006,7370,868.09998,4.5809999,0,
26012,BBOX,BLACK BOX CORP,2007,7370,844.59003,4.3130002,0,
26012,BBOX,BLACK BOX CORP,2008,7370,799.45001,4.5419998,0,
26012,BBOX,BLACK BOX CORP,2009,7370,771.79999,4.348,0,
26012,BBOX,BLACK BOX CORP,2010,7370,,4.4130001,0,
2184,BBY,BEST BUY CO INC,2005,5731,27199.311,128,0,
2184,BBY,BEST BUY CO INC,2006,5731,30693.619,140,0,
2184,BBY,BEST BUY CO INC,2007,5731,33246.309,150,0,
2184,BBY,BEST BUY CO INC,2008,5731,36003.629,155,0,
2184,BBY,BEST BUY CO INC,2009,5731,39894.199,180,0,
2184,BBY,BEST BUY CO INC,2010,5731,49694,180,0,
2444,BC,Brunswick Corporation,2005,3510,5223.1401,27.5,0,
2444,BC,Brunswick Corporation,2006,3730,4838.8501,28,0,
2444,BC,Brunswick Corporation,2007,3730,4710.9502,27.049999,1,Hack
2444,BC,Brunswick Corporation,2008,3730,3766.0801,19.76,1,StolenTape
2444,BC,Brunswick Corporation,2009,3510,2228.6499,15.003,0,
2444,BC,Brunswick Corporation,2010,3510,3403.3,15.29,0,
25405,BGC,General Cable Corporation,2005,3350,2099.2,7.3000002,0,
25405,BGC,General Cable Corporation,2006,3350,3130.6101,7.6999998,0,
25405,BGC,General Cable Corporation,2007,3350,3833.4199,11.8,1,Email
25405,BGC,General Cable Corporation,2008,3350,4982.9199,13,0,
25405,BGC,General Cable Corporation,2009,3350,3520.4299,11.3,0,
25405,BGC,General Cable Corporation,2010,3350,,11.7,0,
145041,BGFV,BIG 5 SPORTING GOODS CORP,2005,5940,717.70001,7.5,0,
145041,BGFV,BIG 5 SPORTING GOODS CORP,2006,5940,748.94,8.1000004,0,
145041,BGFV,BIG 5 SPORTING GOODS CORP,2007,5940,746.19,9.5,0,
145041,BGFV,BIG 5 SPORTING GOODS CORP,2008,5940,691.56,8.8999996,0,
145041,BGFV,BIG 5 SPORTING GOODS CORP,2009,5940,718.94,8.6000004,0,
145041,BGFV,BIG 5 SPORTING GOODS CORP,2010,5940,,8.8999996,0,
14412,BID,SOTHEBY'S,2005,7389,452.76999,1.443,0,
14412,BID,SOTHEBY'S,2006,7389,567.85999,1.497,0,
14412,BID,SOTHEBY'S,2007,7389,762.33002,1.5549999,0,
14412,BID,SOTHEBY'S,2008,7389,553.12,1.638,0,
14412,BID,SOTHEBY'S,2009,7389,389.32001,1.323,0,
14412,BID,SOTHEBY'S,2010,7389,,1.38,0,
12123,BIG,BIG LOTS INC,2005,5331,3905.9399,43.985001,0,
12123,BIG,BIG LOTS INC,2006,5331,4051.3501,38.737999,0,
12123,BIG,BIG LOTS INC,2007,5331,3867.8999,38.153,0,
12123,BIG,BIG LOTS INC,2008,5331,3715.3601,37,0,
12123,BIG,BIG LOTS INC,2009,5331,3794.6399,35.599998,0,
12123,BIG,BIG LOTS INC,2010,5331,,35.599998,0,
65105,BJ,"BJ's Wholesale Club, Inc.",2005,5399,7009.6201,20.299999,0,
65105,BJ,"BJ's Wholesale Club, Inc.",2006,5399,7243.5698,21.200001,0,
65105,BJ,"BJ's Wholesale Club, Inc.",2007,5399,7480.2798,20.799999,0,
65105,BJ,"BJ's Wholesale Club, Inc.",2008,5399,8020.0298,22,1,LostDrive
65105,BJ,"BJ's Wholesale Club, Inc.",2009,5399,8178.0801,23.5,0,
65105,BJ,"BJ's Wholesale Club, Inc.",2010,5399,10050.6,24.799999,0,
124434,BLK,BLACKROCK INC,2005,6282,1050.47,2.151,0,
124434,BLK,BLACKROCK INC,2006,6282,1792.02,5.1129999,0,
124434,BLK,BLACKROCK INC,2007,6282,4024.3601,5.9520001,0,
124434,BLK,BLACKROCK INC,2008,6282,4050.26,5.3410001,0,
124434,BLK,BLACKROCK INC,2009,6282,3773.1499,8.6289997,0,
124434,BLK,BLACKROCK INC,2010,6282,,9.1269999,0,
260893,BLKB,"Blackbaud, Inc.",2005,7372,146.63,1.0140001,0,
260893,BLKB,"Blackbaud, Inc.",2006,7372,163.47,1.165,0,
260893,BLKB,"Blackbaud, Inc.",2007,7372,213.52,1.655,0,
260893,BLKB,"Blackbaud, Inc.",2008,7372,302.5,1.977,0,
260893,BLKB,"Blackbaud, Inc.",2009,7372,309.29999,1.956,1,SnailMail
260893,BLKB,"Blackbaud, Inc.",2010,7372,327.10001,2.0650001,0,
2403,BMY,Bristol-Myers Squibb Company,2005,2834,16935.211,43,0,
2403,BMY,Bristol-Myers Squibb Company,2006,2834,15301.54,43,0,
2403,BMY,Bristol-Myers Squibb Company,2007,2834,16072,42,0,
2403,BMY,Bristol-Myers Squibb Company,2008,2834,16473.77,35,1,StolenTape
2403,BMY,Bristol-Myers Squibb Company,2009,2834,15099.01,28,0,
2403,BMY,Bristol-Myers Squibb Company,2010,2834,19484,27,0,
163993,BOT,CBOT HOLDINGS INC,2005,6200,411.39001,0.69499999,0,
163993,BOT,CBOT HOLDINGS INC,2006,6200,530.52002,0.76999998,0,
163993,BOT,CBOT HOLDINGS INC,2007,6200,,,0,
163993,BOT,CBOT HOLDINGS INC,2008,6200,,,0,
